label_id,sum,count,acc,coverage,stride,model,dataset
77,19,20,0.95,25,1,videomae,ucf101
78,14,20,0.7,25,1,videomae,ucf101
79,19,20,0.95,25,1,videomae,ucf101
80,14,20,0.7,25,1,videomae,ucf101
81,17,20,0.85,25,1,videomae,ucf101
82,19,20,0.95,25,1,videomae,ucf101
83,19,20,0.95,25,1,videomae,ucf101
84,20,20,1.0,25,1,videomae,ucf101
85,11,20,0.55,25,1,videomae,ucf101
86,20,20,1.0,25,1,videomae,ucf101
87,20,20,1.0,25,1,videomae,ucf101
88,17,20,0.85,25,1,videomae,ucf101
89,19,20,0.95,25,1,videomae,ucf101
90,18,20,0.9,25,1,videomae,ucf101
91,11,20,0.55,25,1,videomae,ucf101
92,18,20,0.9,25,1,videomae,ucf101
93,20,20,1.0,25,1,videomae,ucf101
94,20,20,1.0,25,1,videomae,ucf101
95,14,20,0.7,25,1,videomae,ucf101
96,20,20,1.0,25,1,videomae,ucf101
97,17,20,0.85,25,1,videomae,ucf101
98,18,20,0.9,25,1,videomae,ucf101
