model,dataset,res,acc,model_name
slowfast_r50,ssv2,336,35.96946564885496,SlowFast-R50
slowfast_r50,ucf101,96,69.7029702970297,SlowFast-R50
slowfast_r50,ucf101,112,75.84158415841584,SlowFast-R50
slowfast_r50,ucf101,160,87.47524752475248,SlowFast-R50
slowfast_r50,ucf101,224,91.43564356435644,SlowFast-R50
slowfast_r50,ucf101,336,89.20792079207921,SlowFast-R50
timesformer,autsl,96,65.0520597555455,TimeSformer
timesformer,autsl,112,65.98008148483476,TimeSformer
timesformer,autsl,160,68.31145314622002,TimeSformer
timesformer,autsl,224,68.5377999094613,TimeSformer
timesformer,autsl,336,68.58306926210955,TimeSformer
timesformer,diving48,96,37.415881561238216,TimeSformer
timesformer,diving48,112,39.30013458950201,TimeSformer
timesformer,diving48,160,38.6271870794078,TimeSformer
timesformer,diving48,224,38.088829071332434,TimeSformer
timesformer,diving48,336,38.6271870794078,TimeSformer
timesformer,driveact,96,68.30357142857143,TimeSformer
timesformer,driveact,112,69.19642857142857,TimeSformer
timesformer,driveact,160,69.64285714285714,TimeSformer
timesformer,driveact,224,70.3125,TimeSformer
timesformer,driveact,336,69.86607142857143,TimeSformer
timesformer,epic_kitchens,96,20.49019607843137,TimeSformer
timesformer,epic_kitchens,112,19.2156862745098,TimeSformer
timesformer,epic_kitchens,160,25.588235294117638,TimeSformer
timesformer,epic_kitchens,224,31.66666666666666,TimeSformer
timesformer,epic_kitchens,336,23.52941176470588,TimeSformer
timesformer,hmdb51,96,75.9322033898305,TimeSformer
timesformer,hmdb51,112,77.17514124293785,TimeSformer
timesformer,hmdb51,160,77.51412429378531,TimeSformer
timesformer,hmdb51,224,78.87005649717514,TimeSformer
timesformer,hmdb51,336,77.96610169491525,TimeSformer
timesformer,ssv2,96,39.26717557251908,TimeSformer
timesformer,ssv2,112,39.419847328244266,TimeSformer
timesformer,ssv2,160,41.40458015267175,TimeSformer
timesformer,ssv2,224,42.290076335877856,TimeSformer
timesformer,ssv2,336,42.0763358778626,TimeSformer
timesformer,ucf101,96,89.05940594059406,TimeSformer
timesformer,ucf101,112,89.65346534653466,TimeSformer
timesformer,ucf101,160,90.74257425742576,TimeSformer
timesformer,ucf101,224,91.48514851485147,TimeSformer
timesformer,ucf101,336,90.94059405940594,TimeSformer
videomae,autsl,96,77.3426889995473,VideoMAE
videomae,autsl,112,78.2028066998642,VideoMAE
videomae,autsl,160,79.47034857401539,VideoMAE
videomae,autsl,224,79.58352195563604,VideoMAE
videomae,autsl,336,79.28927116342236,VideoMAE
videomae,diving48,96,48.72139973082099,VideoMAE
videomae,diving48,112,48.31763122476447,VideoMAE
videomae,diving48,160,50.87483176312247,VideoMAE
videomae,diving48,224,48.58681022880215,VideoMAE
videomae,diving48,336,49.12516823687752,VideoMAE
videomae,driveact,96,71.42857142857143,VideoMAE
videomae,driveact,112,69.86607142857143,VideoMAE
videomae,driveact,160,71.65178571428571,VideoMAE
videomae,driveact,224,72.99107142857143,VideoMAE
videomae,driveact,336,71.42857142857143,VideoMAE
videomae,epic_kitchens,96,30.88235294117647,VideoMAE
videomae,epic_kitchens,112,32.64705882352941,VideoMAE
videomae,epic_kitchens,160,36.47058823529411,VideoMAE
videomae,epic_kitchens,224,38.62745098039216,VideoMAE
videomae,epic_kitchens,336,39.11764705882353,VideoMAE
videomae,hmdb51,96,83.72881355932203,VideoMAE
videomae,hmdb51,112,83.05084745762711,VideoMAE
videomae,hmdb51,160,83.954802259887,VideoMAE
videomae,hmdb51,224,83.84180790960451,VideoMAE
videomae,hmdb51,336,84.06779661016948,VideoMAE
videomae,ssv2,96,48.94656488549618,VideoMAE
videomae,ssv2,112,49.19083969465649,VideoMAE
videomae,ssv2,160,51.48091603053435,VideoMAE
videomae,ssv2,224,52.33587786259542,VideoMAE
videomae,ssv2,336,51.908396946564885,VideoMAE
videomae,ucf101,96,95.34653465346534,VideoMAE
videomae,ucf101,112,95.69306930693068,VideoMAE
videomae,ucf101,160,96.13861386138613,VideoMAE
videomae,ucf101,224,96.43564356435644,VideoMAE
videomae,ucf101,336,96.28712871287128,VideoMAE
videomamba,autsl,96,0.43005885015844003,VideoMamba
videomamba,autsl,112,0.43005885015844003,VideoMamba
videomamba,autsl,160,0.43005885015844003,VideoMamba
videomamba,autsl,224,0.43005885015844003,VideoMamba
videomamba,autsl,336,0.43005885015844003,VideoMamba
videomamba,diving48,96,29.20592193808883,VideoMamba
videomamba,diving48,112,29.07133243606998,VideoMamba
videomamba,diving48,160,36.0699865410498,VideoMamba
videomamba,diving48,224,36.608344549125164,VideoMamba
videomamba,diving48,336,36.20457604306864,VideoMamba
videomamba,driveact,96,35.04464285714285,VideoMamba
videomamba,driveact,112,38.16964285714285,VideoMamba
videomamba,driveact,160,46.875,VideoMamba
videomamba,driveact,224,57.8125,VideoMamba
videomamba,driveact,336,52.90178571428571,VideoMamba
videomamba,epic_kitchens,96,11.078431372549009,VideoMamba
videomamba,epic_kitchens,112,12.647058823529411,VideoMamba
videomamba,epic_kitchens,160,20.78431372549019,VideoMamba
videomamba,epic_kitchens,224,28.333333333333332,VideoMamba
videomamba,epic_kitchens,336,24.509803921568622,VideoMamba
videomamba,hmdb51,96,59.887005649717516,VideoMamba
videomamba,hmdb51,112,63.84180790960452,VideoMamba
videomamba,hmdb51,160,67.2316384180791,VideoMamba
videomamba,hmdb51,224,69.83050847457626,VideoMamba
videomamba,hmdb51,336,68.92655367231639,VideoMamba
videomamba,ssv2,96,37.46564885496183,VideoMamba
videomamba,ssv2,112,39.29770992366412,VideoMamba
videomamba,ssv2,160,42.50381679389313,VideoMamba
videomamba,ssv2,224,43.87786259541985,VideoMamba
videomamba,ssv2,336,43.847328244274806,VideoMamba
videomamba,ucf101,96,76.73267326732673,VideoMamba
videomamba,ucf101,112,78.71287128712872,VideoMamba
videomamba,ucf101,160,82.57425742574257,VideoMamba
videomamba,ucf101,224,83.46534653465346,VideoMamba
videomamba,ucf101,336,83.76237623762376,VideoMamba
vivit,autsl,96,49.16251697600724,ViViT
vivit,autsl,112,51.81077410593029,ViViT
vivit,autsl,160,53.34993209597103,ViViT
vivit,autsl,224,53.62154821186057,ViViT
vivit,autsl,336,54.028972385694885,ViViT
vivit,diving48,96,48.04845222072678,ViViT
vivit,diving48,112,49.93270524899058,ViViT
vivit,diving48,160,52.75908479138627,ViViT
vivit,diving48,224,53.02826379542396,ViViT
vivit,diving48,336,51.27860026917901,ViViT
vivit,driveact,96,59.375,ViViT
vivit,driveact,112,58.70535714285714,ViViT
vivit,driveact,160,62.05357142857143,ViViT
vivit,driveact,224,63.39285714285714,ViViT
vivit,driveact,336,63.61607142857143,ViViT
vivit,epic_kitchens,96,30.19607843137254,ViViT
vivit,epic_kitchens,112,34.11764705882353,ViViT
vivit,epic_kitchens,160,36.07843137254902,ViViT
vivit,epic_kitchens,224,37.941176470588225,ViViT
vivit,epic_kitchens,336,35.98039215686274,ViViT
vivit,hmdb51,96,77.96610169491525,ViViT
vivit,hmdb51,112,78.98305084745762,ViViT
vivit,hmdb51,160,79.88700564971751,ViViT
vivit,hmdb51,224,79.54802259887006,ViViT
vivit,hmdb51,336,80.0,ViViT
vivit,ssv2,96,36.39694656488549,ViViT
vivit,ssv2,112,37.099236641221374,ViViT
vivit,ssv2,160,38.07633587786259,ViViT
vivit,ssv2,224,38.3206106870229,ViViT
vivit,ssv2,336,38.04580152671756,ViViT
vivit,ucf101,96,91.98019801980199,ViViT
vivit,ucf101,112,93.51485148514853,ViViT
vivit,ucf101,160,94.65346534653463,ViViT
vivit,ucf101,224,95.0990099009901,ViViT
vivit,ucf101,336,94.95049504950495,ViViT
