tau,k_low,k_high,accuracy,avg_frames,fraction_upgraded,model,dataset,delta_acc
0.020202020202020204,4,16,0.08465368945224083,4.0027161611588955,0.00022634676324128565,r2plus1d_18_autsl_full_e10_a100,autsl,0.00022634676324129188
0.030303030303030304,4,16,0.0882752376641014,4.078768673607968,0.006564056133997284,r2plus1d_18_autsl_full_e10_a100,autsl,0.003847894975101865
0.04040404040404041,4,16,0.10502489814395655,4.355817111815301,0.02965142598460842,r2plus1d_18_autsl_full_e10_a100,autsl,0.020597555454957006
0.05050505050505051,4,16,0.13241285649615211,4.806699864191942,0.06722498868266184,r2plus1d_18_autsl_full_e10_a100,autsl,0.047985513807152574
0.06060606060606061,4,16,0.16636487098234495,5.3553644182888185,0.11294703485740154,r2plus1d_18_autsl_full_e10_a100,autsl,0.08193752829334541
0.07070707070707072,4,16,0.19805341783612496,5.93662290629244,0.16138524219103667,r2plus1d_18_autsl_full_e10_a100,autsl,0.11362607514712542
0.08080808080808081,4,16,0.2283838841104572,6.425531914893617,0.20212765957446807,r2plus1d_18_autsl_full_e10_a100,autsl,-0.07378904481665913
0.09090909090909091,4,16,0.2605251244907198,6.985061113626075,0.24875509280217292,r2plus1d_18_autsl_full_e10_a100,autsl,-0.04164780443639654
0.10101010101010102,4,16,0.29447713897691263,7.547306473517429,0.29560887279311904,r2plus1d_18_autsl_full_e10_a100,autsl,-0.007695789950203702
0.11111111111111112,4,16,0.3248076052512449,8.071525577184246,0.3392937980986872,r2plus1d_18_autsl_full_e10_a100,autsl,0.022634676324128578
0.12121212121212122,4,16,0.3544590312358533,8.584880036215482,0.38207333635129015,r2plus1d_18_autsl_full_e10_a100,autsl,0.05228610230873698
0.13131313131313133,4,16,0.3816206428248076,9.068356722498867,0.42236306020823905,r2plus1d_18_autsl_full_e10_a100,autsl,0.07944771389769129
0.14141414141414144,4,16,0.40787686736079676,9.538252602987777,0.46152105024898143,r2plus1d_18_autsl_full_e10_a100,autsl,0.10570393843368042
0.15151515151515152,4,16,0.4291534631054776,9.885921231326392,0.490493435943866,r2plus1d_18_autsl_full_e10_a100,autsl,0.12698053417836125
0.16161616161616163,4,16,0.45043005885015847,10.252602987777275,0.5210502489814396,r2plus1d_18_autsl_full_e10_a100,autsl,0.14825712992304213
